"sActivityName" "iSubjectIndex" "tBodyAcc-mean()-X-AvgByActBySubject" "tBodyAcc-mean()-Y-AvgByActBySubject" "tBodyAcc-mean()-Z-AvgByActBySubject" "tBodyAcc-std()-X-AvgByActBySubject" "tBodyAcc-std()-Y-AvgByActBySubject" "tBodyAcc-std()-Z-AvgByActBySubject" "tGravityAcc-mean()-X-AvgByActBySubject" "tGravityAcc-mean()-Y-AvgByActBySubject" "tGravityAcc-mean()-Z-AvgByActBySubject" "tGravityAcc-std()-X-AvgByActBySubject" "tGravityAcc-std()-Y-AvgByActBySubject" "tGravityAcc-std()-Z-AvgByActBySubject" "tBodyAccJerk-mean()-X-AvgByActBySubject" "tBodyAccJerk-mean()-Y-AvgByActBySubject" "tBodyAccJerk-mean()-Z-AvgByActBySubject" "tBodyAccJerk-std()-X-AvgByActBySubject" "tBodyAccJerk-std()-Y-AvgByActBySubject" "tBodyAccJerk-std()-Z-AvgByActBySubject" "tBodyGyro-mean()-X-AvgByActBySubject" "tBodyGyro-mean()-Y-AvgByActBySubject" "tBodyGyro-mean()-Z-AvgByActBySubject" "tBodyGyro-std()-X-AvgByActBySubject" "tBodyGyro-std()-Y-AvgByActBySubject" "tBodyGyro-std()-Z-AvgByActBySubject" "tBodyGyroJerk-mean()-X-AvgByActBySubject" "tBodyGyroJerk-mean()-Y-AvgByActBySubject" "tBodyGyroJerk-mean()-Z-AvgByActBySubject" "tBodyGyroJerk-std()-X-AvgByActBySubject" "tBodyGyroJerk-std()-Y-AvgByActBySubject" "tBodyGyroJerk-std()-Z-AvgByActBySubject" "tBodyAccMag-mean()-AvgByActBySubject" "tBodyAccMag-std()-AvgByActBySubject" "tGravityAccMag-mean()-AvgByActBySubject" "tGravityAccMag-std()-AvgByActBySubject" "tBodyAccJerkMag-mean()-AvgByActBySubject" "tBodyAccJerkMag-std()-AvgByActBySubject" "tBodyGyroMag-mean()-AvgByActBySubject" "tBodyGyroMag-std()-AvgByActBySubject" "tBodyGyroJerkMag-mean()-AvgByActBySubject" "tBodyGyroJerkMag-std()-AvgByActBySubject" "fBodyAcc-mean()-X-AvgByActBySubject" "fBodyAcc-mean()-Y-AvgByActBySubject" "fBodyAcc-mean()-Z-AvgByActBySubject" "fBodyAcc-std()-X-AvgByActBySubject" "fBodyAcc-std()-Y-AvgByActBySubject" "fBodyAcc-std()-Z-AvgByActBySubject" "fBodyAccJerk-mean()-X-AvgByActBySubject" "fBodyAccJerk-mean()-Y-AvgByActBySubject" "fBodyAccJerk-mean()-Z-AvgByActBySubject" "fBodyAccJerk-std()-X-AvgByActBySubject" "fBodyAccJerk-std()-Y-AvgByActBySubject" "fBodyAccJerk-std()-Z-AvgByActBySubject" "fBodyGyro-mean()-X-AvgByActBySubject" "fBodyGyro-mean()-Y-AvgByActBySubject" "fBodyGyro-mean()-Z-AvgByActBySubject" "fBodyGyro-std()-X-AvgByActBySubject" "fBodyGyro-std()-Y-AvgByActBySubject" "fBodyGyro-std()-Z-AvgByActBySubject" "fBodyAccMag-mean()-AvgByActBySubject" "fBodyAccMag-std()-AvgByActBySubject" "fBodyBodyAccJerkMag-mean()-AvgByActBySubject" "fBodyBodyAccJerkMag-std()-AvgByActBySubject" "fBodyBodyGyroMag-mean()-AvgByActBySubject" "fBodyBodyGyroMag-std()-AvgByActBySubject" "fBodyBodyGyroJerkMag-mean()-AvgByActBySubject" "fBodyBodyGyroJerkMag-std()-AvgByActBySubject"
"WALKING_DOWNSTAIRS" 2 2.91217850212766 9138.3829787234 9174.68085106383 9107.25531914894 10005.0425531915 8512.59574468085 8701.97872340426 8763.63829787234 8642.10638297872 8853.23404255319 8679.02127659574 8495.93617021277 -3.79656150425532 8592 8949.34042553191 8800.95744680851 8740.91489361702 8247.51063829787 8634.51063829787 8883.44680851064 8837.21276595745 8749.42553191489 8841.29787234042 8845.63829787234 1.76276659361702 8872.51063829787 9012.78723404255 9036.10638297872 9310.59574468085 8700.3829787234 8680 8791.82978723404 9233.25531914894 8969.21276595745 8774.6170212766 9255.3829787234 0.0790410821085106 0.654601776595745 8930.72340425532 8968.85106382979 9022.10638297872 8635.27659574468 8724.63829787234 8817.1914893617 8132.76595744681 0.359517467914894 6607.34042553191 8094.55319148936 8619.53191489362 7888.85106382979 7993.93617021277 7953.93617021277 7513.72340425532 7626.63829787234 7995.63829787234 8521.51063829787 8073.57446808511 8046.8085106383 6175.70212765957 7249.51063829787 7135.82978723404 7136.59574468085 -9.34623304680851 7837.91489361702 8336.31914893617 0.252209015757447
"WALKING_UPSTAIRS" 2 2.75643370208333 9262.375 9164.0625 8171.04166666667 9786.35416666667 9273.22916666667 8853.16666666667 9063.375 8892.47916666667 8569.52083333333 8933.14583333333 8787.02083333333 -7.079166 9573.77083333333 8753.85416666667 9092.72916666667 8398.58333333333 8228.66666666667 8869.29166666667 8559.83333333333 8810.39583333333 8883.64583333333 8809.16666666667 8790.72916666667 2.92734438541667 8877.35416666667 8724.10416666667 8627.4375 9117.70833333333 9040.85416666667 8865.58333333333 8811.97916666667 7916.22916666667 8612.10416666667 8763.375 8450.8125 0.0751369210020833 -0.535718739583333 8693.35416666667 8719.72916666667 8825.66666666667 8891.04166666667 8885.70833333333 8812.02083333333 8260.25 0.597291719166667 6689.0625 8267.66666666667 8416.9375 8004.79166666667 8098.85416666667 7960.375 7432.4375 7624.64583333333 8146.8125 8594.75 8236.89583333333 7974.58333333333 6314.45833333333 7021.45833333333 7487.64583333333 7325.41666666667 -9.59188875625 7721.125 8294.375 0.677216341041667
"LAYING" 3 2.75516852741935 2333.61290322581 2862.48387096774 4063.38709677419 3819.12903225806 3976.74193548387 3604.70967741935 3570.74193548387 3879.51612903226 3624.45161290323 4547.29032258064 3626.09677419355 -4.95581567096774 3279.41935483871 3830.72580645161 3407.01612903226 2567.38709677419 4897.85483870968 4092.32258064516 3450.82258064516 3988.83870967742 3840.87096774194 3844.09677419355 3593.14516129032 0.488093829032258 4455.82258064516 3910.48387096774 4186.22580645161 3172.90322580645 4474.91935483871 4009.56451612903 3672.64516129032 4314.12903225806 3913.77419354839 2849.09677419355 3915.46774193548 0.218997422917742 -2.6977523516129 4000.77419354839 3736.17741935484 3234.67741935484 3984.32258064516 3900.25806451613 3733.98387096774 4919.09677419355 0.983139255645161 3163.45161290323 4010.14516129032 4572.82258064516 4687.58064516129 5115.56451612903 5203.46774193548 3155.12903225806 3513 3361.95161290323 3644 4822.70967741936 4994.95161290323 3012 3277.14516129032 5217.06451612903 5231.12903225806 -9.97878042580645 5289.72580645161 4470.38709677419 0.997710078548387
"SITTING" 3 2.62660362884615 3699.13461538462 3846.51923076923 4645.57692307692 2871.73076923077 3206.01923076923 3868.21153846154 3617.03846153846 3424.09615384615 3311.51923076923 4508.75 4045.94230769231 -6.19156076923077 4819.69230769231 2625.51923076923 3717.96153846154 4596.19230769231 4464.71153846154 3824.53846153846 3983.19230769231 4730.48076923077 3784.5 4180.34615384615 3692.80769230769 0.804668478846154 4334.42307692308 3415.13461538462 3910.01923076923 3570.63461538462 4359 3982.65384615385 3125.69230769231 4203.61538461538 3874.73076923077 2980.65384615385 2952.36538461538 0.0904299820576923 -0.672716775 3529.11538461538 3719.46153846154 3550.80769230769 3896.15384615385 3951.53846153846 3806.15384615385 4149.03846153846 0.976772675961538 2833.69230769231 3653 3394.30769230769 3914.53846153846 4425.17307692308 4562.46153846154 2901.73076923077 3339.73076923077 3522.34615384615 3607.13461538462 4051.94230769231 4861.07692307692 2805.55769230769 3059.94230769231 4672.71153846154 4698.84615384615 -9.96583889807692 4544.23076923077 4418.09615384615 0.971562964807692
"STANDING" 3 2.80046513278689 3157.85245901639 3357.88524590164 3809.18032786885 2592.96721311475 3114.7868852459 3659.54098360656 4067.60655737705 4111.29508196721 3908.77049180328 3811.95081967213 3770.44262295082 -5.73829302295082 3972.2131147541 5519.67213114754 3868.70491803279 3704.86885245902 4354.86885245902 3726.86885245902 3633.39344262295 3797.81967213115 3411.27868852459 3836.6393442623 3787.11475409836 2.6172899557377 3494.81967213115 3456.19672131148 2905.39344262295 3761.81967213115 3618.34426229508 3907 3258.04918032787 3676.03278688525 3404.62295081967 3337.01639344262 3127.96721311475 0.16845550546 -1.43448446393443 3572.50819672131 3587.22950819672 3991.68852459016 3831.39344262295 3823.60655737705 3812.91803278689 3485.13114754098 0.957679766885246 2995.01639344262 3556.13114754098 3520.44262295082 3974.18032786885 4569.44262295082 4475.90163934426 2819.03278688525 3200.06557377049 3219.37704918033 3992 3927.85245901639 4543.39344262295 2289.86885245902 3043.24590163934 4472.80327868852 4483.39344262295 -9.96219879508197 4205.73770491803 3551.93442622951 0.991614837213115
"WALKING" 3 2.75567462068966 4826.3275862069 4587.37931034483 2379.13793103448 2112.51724137931 4675.48275862069 3993.53448275862 2923.25862068966 3689.13793103448 3612.8275862069 4846.75862068965 3202.8275862069 -3.15817298275862 1710.06896551724 3358.15517241379 3651.77586206897 3678.91379310345 2669.12068965517 3419.10344827586 3870.62068965517 3801.24137931034 3735.77586206897 3841.84482758621 3531.51724137931 2.92945481034483 3778.53448275862 2877.3275862069 3844.48275862069 4333.87931034483 2553.06896551724 3319.37931034483 3405.77586206897 1572.36206896552 3671.13793103448 4031.81034482759 2589.41379310345 0.0430059694948276 0.197612656896552 3624.51724137931 3710.65517241379 3091.46551724138 3774.70689655172 3418.15517241379 3612.5 2221.6724137931 0.567371560862069 2981.56896551724 2943.70689655172 3008.41379310345 2118.93103448276 1549.29310344828 1585.77586206897 3336.24137931034 3294.53448275862 3740.06896551724 3281.60344827586 1878.08620689655 1648.68965517241 2540.63793103448 3559.98275862069 1760.51724137931 2260.8275862069 -9.5997312862069 2719.44827586207 2522 0.767460444310345
"WALKING_DOWNSTAIRS" 3 2.92423484693878 4587.97959183673 4687.16326530612 3139.81632653061 3958.10204081633 2966.57142857143 3826.81632653061 3493.73469387755 4243.85714285714 3769.44897959184 3031.02040816327 2862.71428571429 -4.6046170755102 3020.22448979592 2691.02040816327 3167.24489795918 3121.30612244898 2264.32653061224 3519.24489795918 3599.42857142857 3746.81632653061 3892.69387755102 3746.63265306122 3456.36734693878 3.1640559 2642.26530612245 4012.91836734694 2793.32653061224 5244.32653061224 3093.04081632653 3923.42857142857 3890 2760.04081632653 3604.0612244898 4813.57142857143 3523.40816326531 -0.150139501985714 1.64996419795918 3401.24489795918 3626.67346938776 3643.40816326531 3694.9387755102 3729.44897959184 3547.79591836735 2306.38775510204 0.583919211020408 2805 3423.85714285714 2800.42857142857 1791.63265306122 1799.10204081633 1856.22448979592 3191.26530612245 2809.28571428571 3532.55102040816 2715.73469387755 1814.38775510204 1630.32653061224 2819.89795918367 2896.87755102041 2089.55102040816 1737.44897959184 -9.70110823469388 2649.08163265306 2342.44897959184 0.527268710346939
"WALKING_UPSTAIRS" 3 2.83693598983051 4526.50847457627 4280.89830508475 2969.69491525424 4146.50847457627 4085.52542372881 3963.5593220339 3556.66101694915 3618.03389830508 3806.33898305085 4634.66101694915 3666.20338983051 -6.86510930508475 5191.83050847458 5011.45762711864 4315.5593220339 3608.52542372881 2533.66101694915 3668.52542372881 3643.69491525424 3845.10169491525 3481.59322033898 3989.86440677966 3813.67796610169 3.50452768305085 2467.23728813559 2845 2937.81355932203 4311.91525423729 2101.28813559322 3657.38983050847 4091.22033898305 2625.25423728814 3440.18644067797 3696.08474576271 2827.23728813559 -0.0743172052661017 -0.506839777966102 3844.05084745763 3848.71186440678 4116.8813559322 3636.27118644068 3306.79661016949 4128.94915254237 2100.40677966102 0.718028040338983 3175.22033898305 3610.74576271186 2534.5593220339 1943.4406779661 2076.84745762712 1764.15254237288 3998.79661016949 3465.30508474576 3169.59322033898 2564.86440677966 2046.22033898305 1551.03389830508 2674.27118644068 3008.20338983051 2588.72881355932 2888.28813559322 -9.67162081864407 2670.1186440678 2902.89830508475 0.770138311186441
"LAYING" 4 2.82261721481481 8331.46296296296 8232.88888888889 8621.57407407407 9094.33333333333 9163.61111111111 8825.33333333333 8637.31481481482 8886.09259259259 8769.87037037037 9553.87037037037 8949.16666666667 -4.25565271851852 8520.38888888889 8804.66666666667 8669.07407407407 8547.2037037037 9202.46296296296 8760.38888888889 8786.66666666667 9007.05555555555 8633.87037037037 8830 8762.98148148148 1.79188222407407 8877.61111111111 8858.74074074074 9176.53703703704 8223.48148148148 9025.55555555555 8845.81481481482 9076.09259259259 9062.33333333333 8950.94444444445 8455.85185185185 8919.88888888889 0.225122605121111 -3.37130608888889 8857.37037037037 8725.85185185185 9009.68518518518 8697.18518518518 8840.40740740741 8870.2037037037 9571.77777777778 0.982698213703704 4759.51851851852 7725.05555555556 9189.03703703704 8990.24074074074 9074.33333333333 9198.40740740741 6712.81481481481 6147.2962962963 6624.46296296296 8735.01851851852 9098.31481481482 9129.94444444445 4498.85185185185 5205.7962962963 7822.64814814815 7664.14814814815 -9.81196184444445 9106.75925925926 9380.77777777778 0.983332555555556
"SITTING" 4 2.858306734 8727.18 8719.82 9013 8736.52 8812.44 8637.5 9025.24 8536.02 8937.52 8737.62 8381.44 -5.871798318 9029.9 8256.72 8546.22 8742.74 9224.46 8925.5 8732.04 8613.88 8754.68 8913.06 8638.28 1.639337452 8814.12 9027.74 8977.9 8953.58 9078.96 8791.12 8852.7 9015.26 8754.5 8861.84 8722.98 0.06298191048 -1.786689536 8766.48 8865.56 8942.98 8864.78 8595.04 8875.28 9139.42 0.9758066902 5133.82 7689.6 8635.62 8685 9149.6 9101.52 6762.08 7006 7124.96 8566.26 8777.88 9085.74 4056.7 5741.54 7887.88 8265.36 -9.983436746 8977.84 8776.54 0.9832994222
